Time	Node	Type	Packets	
1	0	CacheHits	23
1	0	CacheMisses	31
1	0	size	38
1	1	CacheHits	28
1	1	CacheMisses	54
1	1	size	61
1	2	CacheHits	25
1	2	CacheMisses	29
1	2	size	36
1	3	CacheHits	31
1	3	CacheMisses	51
1	3	size	58
1	4	CacheHits	23
1	4	CacheMisses	31
1	4	size	38
1	5	CacheHits	20
1	5	CacheMisses	34
1	5	size	41
1	6	CacheHits	47
1	6	CacheMisses	89
1	6	size	96
1	7	CacheHits	52
1	7	CacheMisses	114
1	7	size	100
1	8	CacheHits	38
1	8	CacheMisses	95
1	8	size	100
1	9	CacheHits	20
1	9	CacheMisses	34
1	9	size	41
1	10	CacheHits	22
1	10	CacheMisses	32
1	10	size	39
1	11	CacheHits	46
1	11	CacheMisses	93
1	11	size	99
1	12	CacheHits	120
1	12	CacheMisses	421
1	12	size	100
1	13	CacheHits	67
1	13	CacheMisses	196
1	13	size	100
1	14	CacheHits	19
1	14	CacheMisses	35
1	14	size	42
1	15	CacheHits	22
1	15	CacheMisses	32
1	15	size	39
1	16	CacheHits	24
1	16	CacheMisses	59
1	16	size	66
1	17	CacheHits	29
1	17	CacheMisses	100
1	17	size	100
1	18	CacheHits	45
1	18	CacheMisses	92
1	18	size	96
1	19	CacheHits	22
1	19	CacheMisses	32
1	19	size	39
1	20	CacheHits	15
1	20	CacheMisses	39
1	20	size	46
1	21	CacheHits	30
1	21	CacheMisses	60
1	21	size	67
1	22	CacheHits	33
1	22	CacheMisses	78
1	22	size	85
1	23	CacheHits	29
1	23	CacheMisses	57
1	23	size	64
1	24	CacheHits	19
1	24	CacheMisses	35
1	24	size	42
2	0	CacheHits	25
2	0	CacheMisses	25
2	0	size	63
2	1	CacheHits	37
2	1	CacheMisses	38
2	1	size	99
2	2	CacheHits	28
2	2	CacheMisses	22
2	2	size	58
2	3	CacheHits	33
2	3	CacheMisses	33
2	3	size	91
2	4	CacheHits	34
2	4	CacheMisses	16
2	4	size	54
2	5	CacheHits	31
2	5	CacheMisses	19
2	5	size	60
2	6	CacheHits	43
2	6	CacheMisses	64
2	6	size	100
2	7	CacheHits	42
2	7	CacheMisses	95
2	7	size	100
2	8	CacheHits	43
2	8	CacheMisses	65
2	8	size	100
2	9	CacheHits	25
2	9	CacheMisses	25
2	9	size	66
2	10	CacheHits	26
2	10	CacheMisses	24
2	10	size	63
2	11	CacheHits	47
2	11	CacheMisses	67
2	11	size	100
2	12	CacheHits	74
2	12	CacheMisses	373
2	12	size	100
2	13	CacheHits	41
2	13	CacheMisses	168
2	13	size	100
2	14	CacheHits	24
2	14	CacheMisses	26
2	14	size	68
2	15	CacheHits	28
2	15	CacheMisses	22
2	15	size	61
2	16	CacheHits	32
2	16	CacheMisses	40
2	16	size	100
2	17	CacheHits	32
2	17	CacheMisses	66
2	17	size	100
2	18	CacheHits	39
2	18	CacheMisses	68
2	18	size	100
2	19	CacheHits	36
2	19	CacheMisses	14
2	19	size	53
2	20	CacheHits	26
2	20	CacheMisses	24
2	20	size	70
2	21	CacheHits	37
2	21	CacheMisses	37
2	21	size	100
2	22	CacheHits	39
2	22	CacheMisses	48
2	22	size	100
2	23	CacheHits	31
2	23	CacheMisses	43
2	23	size	100
2	24	CacheHits	26
2	24	CacheMisses	24
2	24	size	66
3	0	CacheHits	30
3	0	CacheMisses	20
3	0	size	83
3	1	CacheHits	32
3	1	CacheMisses	38
3	1	size	100
3	2	CacheHits	33
3	2	CacheMisses	17
3	2	size	75
