Time	Node	Type	Packets	
1	0	CacheHits	6
1	0	CacheMisses	14
1	0	size	14
1	1	CacheHits	8
1	1	CacheMisses	22
1	1	size	23
1	2	CacheHits	8
1	2	CacheMisses	12
1	2	size	12
1	3	CacheHits	10
1	3	CacheMisses	23
1	3	size	24
1	4	CacheHits	3
1	4	CacheMisses	17
1	4	size	17
1	5	CacheHits	4
1	5	CacheMisses	16
1	5	size	16
1	6	CacheHits	13
1	6	CacheMisses	38
1	6	size	38
1	7	CacheHits	18
1	7	CacheMisses	43
1	7	size	44
1	8	CacheHits	12
1	8	CacheMisses	39
1	8	size	40
1	9	CacheHits	5
1	9	CacheMisses	15
1	9	size	15
1	10	CacheHits	4
1	10	CacheMisses	16
1	10	size	16
1	11	CacheHits	11
1	11	CacheMisses	38
1	11	size	39
1	12	CacheHits	56
1	12	CacheMisses	154
1	12	size	100
1	13	CacheHits	19
1	13	CacheMisses	80
1	13	size	81
1	14	CacheHits	4
1	14	CacheMisses	16
1	14	size	16
1	15	CacheHits	8
1	15	CacheMisses	12
1	15	size	13
1	16	CacheHits	8
1	16	CacheMisses	21
1	16	size	22
1	17	CacheHits	8
1	17	CacheMisses	43
1	17	size	43
1	18	CacheHits	12
1	18	CacheMisses	37
1	18	size	37
1	19	CacheHits	6
1	19	CacheMisses	14
1	19	size	14
1	20	CacheHits	3
1	20	CacheMisses	17
1	20	size	17
1	21	CacheHits	8
1	21	CacheMisses	25
1	21	size	25
1	22	CacheHits	7
1	22	CacheMisses	34
1	22	size	35
1	23	CacheHits	9
1	23	CacheMisses	24
1	23	size	25
1	24	CacheHits	3
1	24	CacheMisses	17
1	24	size	17
2	0	CacheHits	7
2	0	CacheMisses	8
2	0	size	23
2	1	CacheHits	8
2	1	CacheMisses	16
2	1	size	38
2	2	CacheHits	7
2	2	CacheMisses	8
2	2	size	20
2	3	CacheHits	6
2	3	CacheMisses	17
2	3	size	41
2	4	CacheHits	8
2	4	CacheMisses	7
2	4	size	25
2	5	CacheHits	8
2	5	CacheMisses	7
2	5	size	24
2	6	CacheHits	10
2	6	CacheMisses	28
2	6	size	67
2	7	CacheHits	16
2	7	CacheMisses	36
2	7	size	80
2	8	CacheHits	12
2	8	CacheMisses	31
2	8	size	70
2	9	CacheHits	5
2	9	CacheMisses	10
2	9	size	26
2	10	CacheHits	7
2	10	CacheMisses	8
2	10	size	24
2	11	CacheHits	11
2	11	CacheMisses	27
2	11	size	66
2	12	CacheHits	38
2	12	CacheMisses	119
2	12	size	100
2	13	CacheHits	23
2	13	CacheMisses	56
2	13	size	100
2	14	CacheHits	5
2	14	CacheMisses	10
2	14	size	26
2	15	CacheHits	7
2	15	CacheMisses	8
2	15	size	20
2	16	CacheHits	7
2	16	CacheMisses	15
2	16	size	37
2	17	CacheHits	8
2	17	CacheMisses	23
2	17	size	66
2	18	CacheHits	14
2	18	CacheMisses	23
2	18	size	61
2	19	CacheHits	7
2	19	CacheMisses	8
2	19	size	22
2	20	CacheHits	3
2	20	CacheMisses	12
2	20	size	29
2	21	CacheHits	12
2	21	CacheMisses	15
2	21	size	41
2	22	CacheHits	15
2	22	CacheMisses	16
2	22	size	51
2	23	CacheHits	9
2	23	CacheMisses	16
2	23	size	40
2	24	CacheHits	5
2	24	CacheMisses	10
2	24	size	27
3	0	CacheHits	8
3	0	CacheMisses	7
3	0	size	30
3	1	CacheHits	10
3	1	CacheMisses	12
3	1	size	50
3	2	CacheHits	6
3	2	CacheMisses	9
3	2	size	29
3	3	CacheHits	12
3	3	CacheMisses	9
3	3	size	50
3	4	CacheHits	9
3	4	CacheMisses	6
3	4	size	31
3	5	CacheHits	6
3	5	CacheMisses	9
3	5	size	33
3	6	CacheHits	17
3	6	CacheMisses	19
3	6	size	86
3	7	CacheHits	14
3	7	CacheMisses	29
3	7	size	100
3	8	CacheHits	12
3	8	CacheMisses	19
3	8	size	90
3	9	CacheHits	8
3	9	CacheMisses	7
3	9	size	33
3	10	CacheHits	8
3	10	CacheMisses	7
3	10	size	32
3	11	CacheHits	20
3	11	CacheMisses	24
3	11	size	90
3	12	CacheHits	24
3	12	CacheMisses	111
3	12	size	100
3	13	CacheHits	22
3	13	CacheMisses	40
3	13	size	100
3	14	CacheHits	8
3	14	CacheMisses	7
3	14	size	34
3	15	CacheHits	5
3	15	CacheMisses	10
3	15	size	31
3	16	CacheHits	5
3	16	CacheMisses	21
3	16	size	58
3	17	CacheHits	11
3	17	CacheMisses	29
3	17	size	95
3	18	CacheHits	14
3	18	CacheMisses	19
3	18	size	80
3	19	CacheHits	8
3	19	CacheMisses	7
3	19	size	29
3	20	CacheHits	6
3	20	CacheMisses	9
3	20	size	39
3	21	CacheHits	6
3	21	CacheMisses	19
3	21	size	59
3	22	CacheHits	7
3	22	CacheMisses	26
3	22	size	76
3	23	CacheHits	10
3	23	CacheMisses	11
3	23	size	51
3	24	CacheHits	10
3	24	CacheMisses	5
3	24	size	33
4	0	CacheHits	8
4	0	CacheMisses	7
4	0	size	36
4	1	CacheHits	8
4	1	CacheMisses	13
4	1	size	63
4	2	CacheHits	10
4	2	CacheMisses	5
4	2	size	35
4	3	CacheHits	9
4	3	CacheMisses	12
4	3	size	62
4	4	CacheHits	8
4	4	CacheMisses	7
4	4	size	37
4	5	CacheHits	9
4	5	CacheMisses	6
4	5	size	39
4	6	CacheHits	16
4	6	CacheMisses	18
4	6	size	100
4	7	CacheHits	15
4	7	CacheMisses	23
4	7	size	100
4	8	CacheHits	13
4	8	CacheMisses	22
4	8	size	100
4	9	CacheHits	6
4	9	CacheMisses	9
4	9	size	42
4	10	CacheHits	9
4	10	CacheMisses	6
4	10	size	37
4	11	CacheHits	17
4	11	CacheMisses	16
4	11	size	100
4	12	CacheHits	17
4	12	CacheMisses	107
4	12	size	100
4	13	CacheHits	13
4	13	CacheMisses	53
4	13	size	100
4	14	CacheHits	6
4	14	CacheMisses	9
4	14	size	42
4	15	CacheHits	7
4	15	CacheMisses	8
4	15	size	38
4	16	CacheHits	9
4	16	CacheMisses	13
4	16	size	71
4	17	CacheHits	9
4	17	CacheMisses	16
4	17	size	100
4	18	CacheHits	16
4	18	CacheMisses	22
4	18	size	100
4	19	CacheHits	7
4	19	CacheMisses	8
4	19	size	37
4	20	CacheHits	10
4	20	CacheMisses	5
4	20	size	43
4	21	CacheHits	13
4	21	CacheMisses	6
4	21	size	66
4	22	CacheHits	12
4	22	CacheMisses	10
4	22	size	86
4	23	CacheHits	7
4	23	CacheMisses	15
4	23	size	66
4	24	CacheHits	7
4	24	CacheMisses	8
4	24	size	40
5	0	CacheHits	5
5	0	CacheMisses	10
5	0	size	46
5	1	CacheHits	12
5	1	CacheMisses	13
5	1	size	76
5	2	CacheHits	10
5	2	CacheMisses	5
5	2	size	40
5	3	CacheHits	10
5	3	CacheMisses	11
5	3	size	73
5	4	CacheHits	9
5	4	CacheMisses	6
5	4	size	43
5	5	CacheHits	11
5	5	CacheMisses	4
5	5	size	43
5	6	CacheHits	14
5	6	CacheMisses	18
5	6	size	100
5	7	CacheHits	12
5	7	CacheMisses	27
5	7	size	100
5	8	CacheHits	12
5	8	CacheMisses	22
5	8	size	100
5	9	CacheHits	6
5	9	CacheMisses	9
5	9	size	50
5	10	CacheHits	8
5	10	CacheMisses	7
5	10	size	45
5	11	CacheHits	14
5	11	CacheMisses	21
5	11	size	100
5	12	CacheHits	24
5	12	CacheMisses	118
5	12	size	100
5	13	CacheHits	12
5	13	CacheMisses	54
5	13	size	100
5	14	CacheHits	8
5	14	CacheMisses	7
5	14	size	50
5	15	CacheHits	8
5	15	CacheMisses	7
5	15	size	46
5	16	CacheHits	10
5	16	CacheMisses	13
5	16	size	83
5	17	CacheHits	9
5	17	CacheMisses	24
5	17	size	100
5	18	CacheHits	13
5	18	CacheMisses	20
5	18	size	100
5	19	CacheHits	13
5	19	CacheMisses	2
5	19	size	40
5	20	CacheHits	6
5	20	CacheMisses	9
5	20	size	52
5	21	CacheHits	12
5	21	CacheMisses	12
