Time	Node	Type	Packets	
1	root	CacheHits	2
1	root	CacheMisses	452
1	root	size	8
1	rtr1-1	CacheHits	2
1	rtr1-1	CacheMisses	271
1	rtr1-1	size	8
1	rtr1-2	CacheHits	2
1	rtr1-2	CacheMisses	184
1	rtr1-2	size	8
1	user1-1	CacheHits	109
1	user1-1	CacheMisses	95
1	user1-1	size	99
1	rtr2-1	CacheHits	2
1	rtr2-1	CacheMisses	179
1	rtr2-1	size	8
1	user1-2	CacheHits	104
1	user1-2	CacheMisses	100
1	user1-2	size	100
1	user1-3	CacheHits	117
1	user1-3	CacheMisses	87
1	user1-3	size	91
1	user2-1	CacheHits	106
1	user2-1	CacheMisses	98
1	user2-1	size	100
1	user2-2	CacheHits	120
1	user2-2	CacheMisses	84
1	user2-2	size	88
2	root	CacheHits	0
2	root	CacheMisses	343
2	root	size	8
2	rtr1-1	CacheHits	0
2	rtr1-1	CacheMisses	204
2	rtr1-1	size	8
2	rtr1-2	CacheHits	0
2	rtr1-2	CacheMisses	139
2	rtr1-2	size	8
2	user1-1	CacheHits	137
2	user1-1	CacheMisses	63
2	user1-1	size	100
2	rtr2-1	CacheHits	0
2	rtr2-1	CacheMisses	141
2	rtr2-1	size	8
2	user1-2	CacheHits	133
2	user1-2	CacheMisses	67
2	user1-2	size	100
2	user1-3	CacheHits	128
2	user1-3	CacheMisses	72
2	user1-3	size	100
2	user2-1	CacheHits	142
2	user2-1	CacheMisses	58
2	user2-1	size	100
2	user2-2	CacheHits	117
2	user2-2	CacheMisses	83
2	user2-2	size	100
3	root	CacheHits	0
3	root	CacheMisses	353
3	root	size	8
3	rtr1-1	CacheHits	0
3	rtr1-1	CacheMisses	210
3	rtr1-1	size	8
3	rtr1-2	CacheHits	0
3	rtr1-2	CacheMisses	143
3	rtr1-2	size	8
3	user1-1	CacheHits	126
3	user1-1	CacheMisses	74
3	user1-1	size	100
3	rtr2-1	CacheHits	0
3	rtr2-1	CacheMisses	136
3	rtr2-1	size	8
3	user1-2	CacheHits	135
3	user1-2	CacheMisses	65
3	user1-2	size	100
3	user1-3	CacheHits	122
3	user1-3	CacheMisses	78
3	user1-3	size	100
3	user2-1	CacheHits	139
3	user2-1	CacheMisses	61
3	user2-1	size	100
3	user2-2	CacheHits	125
3	user2-2	CacheMisses	75
3	user2-2	size	100
4	root	CacheHits	0
4	root	CacheMisses	332
4	root	size	8
4	rtr1-1	CacheHits	0
4	rtr1-1	CacheMisses	189
4	rtr1-1	size	8
4	rtr1-2	CacheHits	0
4	rtr1-2	CacheMisses	143
4	rtr1-2	size	8
4	user1-1	CacheHits	133
4	user1-1	CacheMisses	67
4	user1-1	size	100
4	rtr2-1	CacheHits	0
4	rtr2-1	CacheMisses	122
4	rtr2-1	size	8
4	user1-2	CacheHits	124
4	user1-2	CacheMisses	76
4	user1-2	size	100
4	user1-3	CacheHits	133
4	user1-3	CacheMisses	67
4	user1-3	size	100
4	user2-1	CacheHits	144
4	user2-1	CacheMisses	56
4	user2-1	size	100
4	user2-2	CacheHits	134
4	user2-2	CacheMisses	66
4	user2-2	size	100
5	root	CacheHits	0
5	root	CacheMisses	358
5	root	size	8
5	rtr1-1	CacheHits	0
5	rtr1-1	CacheMisses	216
5	rtr1-1	size	8
5	rtr1-2	CacheHits	0
5	rtr1-2	CacheMisses	142
5	rtr1-2	size	8
5	user1-1	CacheHits	126
5	user1-1	CacheMisses	74
5	user1-1	size	100
5	rtr2-1	CacheHits	0
5	rtr2-1	CacheMisses	142
5	rtr2-1	size	8
5	user1-2	CacheHits	129
5	user1-2	CacheMisses	71
5	user1-2	size	100
5	user1-3	CacheHits	129
5	user1-3	CacheMisses	71
5	user1-3	size	100
5	user2-1	CacheHits	131
5	user2-1	CacheMisses	69
5	user2-1	size	100
5	user2-2	CacheHits	127
5	user2-2	CacheMisses	73
5	user2-2	size	100
6	root	CacheHits	0
6	root	CacheMisses	329
6	root	size	8
6	rtr1-1	CacheHits	0
6	rtr1-1	CacheMisses	191
6	rtr1-1	size	8
6	rtr1-2	CacheHits	0
6	rtr1-2	CacheMisses	138
6	rtr1-2	size	8
6	user1-1	CacheHits	131
6	user1-1	CacheMisses	69
6	user1-1	size	100
6	rtr2-1	CacheHits	0
6	rtr2-1	CacheMisses	122
6	rtr2-1	size	8
6	user1-2	CacheHits	126
6	user1-2	CacheMisses	74
6	user1-2	size	100
6	user1-3	CacheHits	136
6	user1-3	CacheMisses	64
6	user1-3	size	100
6	user2-1	CacheHits	150
6	user2-1	CacheMisses	50
6	user2-1	size	100
6	user2-2	CacheHits	128
6	user2-2	CacheMisses	72
6	user2-2	size	100
7	root	CacheHits	0
7	root	CacheMisses	326
7	root	size	8
7	rtr1-1	CacheHits	0
7	rtr1-1	CacheMisses	189
7	rtr1-1	size	8
7	rtr1-2	CacheHits	0
7	rtr1-2	CacheMisses	137
7	rtr1-2	size	8
7	user1-1	CacheHits	134
7	user1-1	CacheMisses	66
7	user1-1	size	100
7	rtr2-1	CacheHits	0
7	rtr2-1	CacheMisses	123
7	rtr2-1	size	8
7	user1-2	CacheHits	140
7	user1-2	CacheMisses	60
7	user1-2	size	100
7	user1-3	CacheHits	123
7	user1-3	CacheMisses	77
7	user1-3	size	100
7	user2-1	CacheHits	134
7	user2-1	CacheMisses	66
7	user2-1	size	100
7	user2-2	CacheHits	143
7	user2-2	CacheMisses	57
7	user2-2	size	100
8	root	CacheHits	0
8	root	CacheMisses	331
8	root	size	8
8	rtr1-1	CacheHits	0
8	rtr1-1	CacheMisses	199
8	rtr1-1	size	8
8	rtr1-2	CacheHits	0
8	rtr1-2	CacheMisses	132
8	rtr1-2	size	8
8	user1-1	CacheHits	131
8	user1-1	CacheMisses	69
8	user1-1	size	100
8	rtr2-1	CacheHits	0
8	rtr2-1	CacheMisses	130
8	rtr2-1	size	8
8	user1-2	CacheHits	137
8	user1-2	CacheMisses	63
8	user1-2	size	100
8	user1-3	CacheHits	131
8	user1-3	CacheMisses	69
8	user1-3	size	100
8	user2-1	CacheHits	129
8	user2-1	CacheMisses	71
8	user2-1	size	100
8	user2-2	CacheHits	141
8	user2-2	CacheMisses	59
8	user2-2	size	100
9	root	CacheHits	0
9	root	CacheMisses	342
9	root	size	8
9	rtr1-1	CacheHits	0
9	rtr1-1	CacheMisses	204
9	rtr1-1	size	8
