Time	Node	Type	Packets	
1	root	CacheHits	2
1	root	CacheMisses	628
1	root	size	8
1	rtr1-1	CacheHits	2
1	rtr1-1	CacheMisses	369
1	rtr1-1	size	8
1	rtr1-2	CacheHits	2
1	rtr1-2	CacheMisses	263
1	rtr1-2	size	8
1	user1-1	CacheHits	180
1	user1-1	CacheMisses	125
1	user1-1	size	100
1	rtr2-1	CacheHits	3
1	rtr2-1	CacheMisses	247
1	rtr2-1	size	9
1	user1-2	CacheHits	166
1	user1-2	CacheMisses	139
1	user1-2	size	100
1	user1-3	CacheHits	177
1	user1-3	CacheMisses	128
1	user1-3	size	100
1	user2-1	CacheHits	178
1	user2-1	CacheMisses	127
1	user2-1	size	100
1	user2-2	CacheHits	180
1	user2-2	CacheMisses	125
1	user2-2	size	100
2	root	CacheHits	0
2	root	CacheMisses	520
2	root	size	8
2	rtr1-1	CacheHits	0
2	rtr1-1	CacheMisses	317
2	rtr1-1	size	8
2	rtr1-2	CacheHits	0
2	rtr1-2	CacheMisses	203
2	rtr1-2	size	8
2	user1-1	CacheHits	192
2	user1-1	CacheMisses	108
2	user1-1	size	100
2	rtr2-1	CacheHits	0
2	rtr2-1	CacheMisses	210
2	rtr2-1	size	9
2	user1-2	CacheHits	206
2	user1-2	CacheMisses	94
2	user1-2	size	100
2	user1-3	CacheHits	190
2	user1-3	CacheMisses	110
2	user1-3	size	100
2	user2-1	CacheHits	209
2	user2-1	CacheMisses	91
2	user2-1	size	100
2	user2-2	CacheHits	181
2	user2-2	CacheMisses	119
2	user2-2	size	100
3	root	CacheHits	0
3	root	CacheMisses	506
3	root	size	8
3	rtr1-1	CacheHits	0
3	rtr1-1	CacheMisses	290
3	rtr1-1	size	8
3	rtr1-2	CacheHits	0
3	rtr1-2	CacheMisses	216
3	rtr1-2	size	8
3	user1-1	CacheHits	204
3	user1-1	CacheMisses	96
3	user1-1	size	100
3	rtr2-1	CacheHits	0
3	rtr2-1	CacheMisses	194
3	rtr2-1	size	9
3	user1-2	CacheHits	187
3	user1-2	CacheMisses	113
3	user1-2	size	100
3	user1-3	CacheHits	199
3	user1-3	CacheMisses	101
3	user1-3	size	100
3	user2-1	CacheHits	207
3	user2-1	CacheMisses	93
3	user2-1	size	100
3	user2-2	CacheHits	200
3	user2-2	CacheMisses	100
3	user2-2	size	100
4	root	CacheHits	0
4	root	CacheMisses	512
4	root	size	8
4	rtr1-1	CacheHits	0
4	rtr1-1	CacheMisses	305
4	rtr1-1	size	8
4	rtr1-2	CacheHits	0
4	rtr1-2	CacheMisses	207
4	rtr1-2	size	8
4	user1-1	CacheHits	187
4	user1-1	CacheMisses	113
4	user1-1	size	100
4	rtr2-1	CacheHits	0
4	rtr2-1	CacheMisses	191
4	rtr2-1	size	9
4	user1-2	CacheHits	193
4	user1-2	CacheMisses	107
4	user1-2	size	100
4	user1-3	CacheHits	199
4	user1-3	CacheMisses	101
4	user1-3	size	100
4	user2-1	CacheHits	219
4	user2-1	CacheMisses	81
4	user2-1	size	100
4	user2-2	CacheHits	189
4	user2-2	CacheMisses	111
4	user2-2	size	100
5	root	CacheHits	0
5	root	CacheMisses	505
5	root	size	8
5	rtr1-1	CacheHits	0
5	rtr1-1	CacheMisses	292
5	rtr1-1	size	8
5	rtr1-2	CacheHits	0
5	rtr1-2	CacheMisses	213
5	rtr1-2	size	8
5	user1-1	CacheHits	201
5	user1-1	CacheMisses	99
5	user1-1	size	100
5	rtr2-1	CacheHits	0
5	rtr2-1	CacheMisses	194
5	rtr2-1	size	9
5	user1-2	CacheHits	201
5	user1-2	CacheMisses	99
5	user1-2	size	100
5	user1-3	CacheHits	186
5	user1-3	CacheMisses	114
5	user1-3	size	100
5	user2-1	CacheHits	192
5	user2-1	CacheMisses	108
5	user2-1	size	100
5	user2-2	CacheHits	214
5	user2-2	CacheMisses	86
5	user2-2	size	100
6	root	CacheHits	0
6	root	CacheMisses	494
6	root	size	8
6	rtr1-1	CacheHits	0
6	rtr1-1	CacheMisses	300
6	rtr1-1	size	8
6	rtr1-2	CacheHits	0
6	rtr1-2	CacheMisses	194
6	rtr1-2	size	8
6	user1-1	CacheHits	195
6	user1-1	CacheMisses	105
6	user1-1	size	100
6	rtr2-1	CacheHits	0
6	rtr2-1	CacheMisses	194
6	rtr2-1	size	9
6	user1-2	CacheHits	217
6	user1-2	CacheMisses	83
6	user1-2	size	100
6	user1-3	CacheHits	189
6	user1-3	CacheMisses	111
6	user1-3	size	100
6	user2-1	CacheHits	202
6	user2-1	CacheMisses	98
6	user2-1	size	100
6	user2-2	CacheHits	204
6	user2-2	CacheMisses	96
6	user2-2	size	100
7	root	CacheHits	0
7	root	CacheMisses	544
7	root	size	8
7	rtr1-1	CacheHits	0
7	rtr1-1	CacheMisses	333
7	rtr1-1	size	8
7	rtr1-2	CacheHits	0
7	rtr1-2	CacheMisses	211
7	rtr1-2	size	8
7	user1-1	CacheHits	184
7	user1-1	CacheMisses	116
7	user1-1	size	100
7	rtr2-1	CacheHits	0
7	rtr2-1	CacheMisses	217
7	rtr2-1	size	9
7	user1-2	CacheHits	195
7	user1-2	CacheMisses	105
7	user1-2	size	100
7	user1-3	CacheHits	195
7	user1-3	CacheMisses	105
7	user1-3	size	100
7	user2-1	CacheHits	187
7	user2-1	CacheMisses	113
7	user2-1	size	100
7	user2-2	CacheHits	195
7	user2-2	CacheMisses	105
7	user2-2	size	100
8	root	CacheHits	0
8	root	CacheMisses	503
8	root	size	8
8	rtr1-1	CacheHits	0
8	rtr1-1	CacheMisses	296
8	rtr1-1	size	8
8	rtr1-2	CacheHits	0
8	rtr1-2	CacheMisses	207
8	rtr1-2	size	8
8	user1-1	CacheHits	211
8	user1-1	CacheMisses	89
8	user1-1	size	100
8	rtr2-1	CacheHits	0
8	rtr2-1	CacheMisses	208
8	rtr2-1	size	9
8	user1-2	CacheHits	195
8	user1-2	CacheMisses	105
8	user1-2	size	100
8	user1-3	CacheHits	197
8	user1-3	CacheMisses	103
8	user1-3	size	100
8	user2-1	CacheHits	189
8	user2-1	CacheMisses	111
8	user2-1	size	100
8	user2-2	CacheHits	204
8	user2-2	CacheMisses	96
8	user2-2	size	100
9	root	CacheHits	0
9	root	CacheMisses	492
9	root	size	8
9	rtr1-1	CacheHits	0
9	rtr1-1	CacheMisses	304
9	rtr1-1	size	8
9	rtr1-2	CacheHits	0
9	rtr1-2	CacheMisses	188
9	rtr1-2	size	8
9	user1-1	CacheHits	195
9	user1-1	CacheMisses	105
9	user1-1	size	100
9	rtr2-1	CacheHits	0
9	rtr2-1	CacheMisses	198
9	rtr2-1	size	9
9	user1-2	CacheHits	206
9	user1-2	CacheMisses	94
9	user1-2	size	100
9	user1-3	CacheHits	206
9	user1-3	CacheMisses	94
9	user1-3	size	100
9	user2-1	CacheHits	207
9	user2-1	CacheMisses	93
9	user2-1	size	100
9	user2-2	CacheHits	196
9	user2-2	CacheMisses	104
9	user2-2	size	100
10	root	CacheHits	0
10	root	CacheMisses	516
10	root	size	8
10	rtr1-1	CacheHits	0
10	rtr1-1	CacheMisses	324
10	rtr1-1	size	8
10	rtr1-2	CacheHits	0
10	rtr1-2	CacheMisses	192
10	rtr1-2	size	8
10	user1-1	CacheHits	194
10	user1-1	CacheMisses	106
10	user1-1	size	100
10	rtr2-1	CacheHits	0
10	rtr2-1	CacheMisses	219
10	rtr2-1	size	9
10	user1-2	CacheHits	213
10	user1-2	CacheMisses	87
10	user1-2	size	100
10	user1-3	CacheHits	196
10	user1-3	CacheMisses	104
10	user1-3	size	100
10	user2-1	CacheHits	184
10	user2-1	CacheMisses	116
10	user2-1	size	100
10	user2-2	CacheHits	196
10	user2-2	CacheMisses	104
10	user2-2	size	100
11	root	CacheHits	0
11	root	CacheMisses	520
11	root	size	8
11	rtr1-1	CacheHits	0
11	rtr1-1	CacheMisses	314
11	rtr1-1	size	8
11	rtr1-2	CacheHits	0
11	rtr1-2	CacheMisses	206
11	rtr1-2	size	8
11	user1-1	CacheHits	199
11	user1-1	CacheMisses	101
11	user1-1	size	100
11	rtr2-1	CacheHits	0
11	rtr2-1	CacheMisses	213
11	rtr2-1	size	9
11	user1-2	CacheHits	204
11	user1-2	CacheMisses	96
11	user1-2	size	100
11	user1-3	CacheHits	190
11	user1-3	CacheMisses	110
11	user1-3	size	100
11	user2-1	CacheHits	197
11	user2-1	CacheMisses	103
11	user2-1	size	100
11	user2-2	CacheHits	190
11	user2-2	CacheMisses	110
11	user2-2	size	100
12	root	CacheHits	0
12	root	CacheMisses	595
12	root	size	8
12	rtr1-1	CacheHits	0
12	rtr1-1	CacheMisses	352
12	rtr1-1	size	8
12	rtr1-2	CacheHits	0
12	rtr1-2	CacheMisses	243
12	rtr1-2	size	8
12	user1-1	CacheHits	187
12	user1-1	CacheMisses	113
12	user1-1	size	100
12	rtr2-1	CacheHits	0
12	rtr2-1	CacheMisses	238
12	rtr2-1	size	9
12	user1-2	CacheHits	181
12	user1-2	CacheMisses	119
12	user1-2	size	100
12	user1-3	CacheHits	176
12	user1-3	CacheMisses	124
12	user1-3	size	100
12	user2-1	CacheHits	178
12	user2-1	CacheMisses	122
12	user2-1	size	100
12	user2-2	CacheHits	188
12	user2-2	CacheMisses	112
12	user2-2	size	100
13	root	CacheHits	0
13	root	CacheMisses	560
13	root	size	8
13	rtr1-1	CacheHits	0
13	rtr1-1	CacheMisses	337
13	rtr1-1	size	8
13	rtr1-2	CacheHits	0
13	rtr1-2	CacheMisses	223
13	rtr1-2	size	8
13	user1-1	CacheHits	182
13	user1-1	CacheMisses	118
13	user1-1	size	100
13	rtr2-1	CacheHits	2
13	rtr2-1	CacheMisses	219
13	rtr2-1	size	10
13	user1-2	CacheHits	193
13	user1-2	CacheMisses	107
13	user1-2	size	100
13	user1-3	CacheHits	186
13	user1-3	CacheMisses	114
13	user1-3	size	100
13	user2-1	CacheHits	194
13	user2-1	CacheMisses	106
13	user2-1	size	100
13	user2-2	CacheHits	185
13	user2-2	CacheMisses	115
13	user2-2	size	100
14	root	CacheHits	0
14	root	CacheMisses	581
14	root	size	8
14	rtr1-1	CacheHits	0
14	rtr1-1	CacheMisses	334
14	rtr1-1	size	8
14	rtr1-2	CacheHits	0
14	rtr1-2	CacheMisses	247
14	rtr1-2	size	8
14	user1-1	CacheHits	188
14	user1-1	CacheMisses	112
14	user1-1	size	100
14	rtr2-1	CacheHits	0
14	rtr2-1	CacheMisses	220
14	rtr2-1	size	10
14	user1-2	CacheHits	172
14	user1-2	CacheMisses	128
14	user1-2	size	100
14	user1-3	CacheHits	185
14	user1-3	CacheMisses	115
14	user1-3	size	100
14	user2-1	CacheHits	190
14	user2-1	CacheMisses	110
14	user2-1	size	100
14	user2-2	CacheHits	192
14	user2-2	CacheMisses	108
14	user2-2	size	100
15	root	CacheHits	0
15	root	CacheMisses	548
15	root	size	8
15	rtr1-1	CacheHits	0
15	rtr1-1	CacheMisses	320
15	rtr1-1	size	8
15	rtr1-2	CacheHits	0
15	rtr1-2	CacheMisses	228
15	rtr1-2	size	8
15	user1-1	CacheHits	199
15	user1-1	CacheMisses	101
15	user1-1	size	100
15	rtr2-1	CacheHits	1
15	rtr2-1	CacheMisses	224
15	rtr2-1	size	10
15	user1-2	CacheHits	185
15	user1-2	CacheMisses	115
15	user1-2	size	100
15	user1-3	CacheHits	187
15	user1-3	CacheMisses	113
15	user1-3	size	100
15	user2-1	CacheHits	197
15	user2-1	CacheMisses	103
15	user2-1	size	100
15	user2-2	CacheHits	180
15	user2-2	CacheMisses	120
15	user2-2	size	100
16	root	CacheHits	0
16	root	CacheMisses	554
16	root	size	8
16	rtr1-1	CacheHits	0
16	rtr1-1	CacheMisses	321
16	rtr1-1	size	8
16	rtr1-2	CacheHits	0
16	rtr1-2	CacheMisses	233
16	rtr1-2	size	8
16	user1-1	CacheHits	189
16	user1-1	CacheMisses	111
16	user1-1	size	100
16	rtr2-1	CacheHits	1
16	rtr2-1	CacheMisses	209
16	rtr2-1	size	10
16	user1-2	CacheHits	185
16	user1-2	CacheMisses	115
16	user1-2	size	100
16	user1-3	CacheHits	184
16	user1-3	CacheMisses	116
16	user1-3	size	100
16	user2-1	CacheHits	193
16	user2-1	CacheMisses	107
16	user2-1	size	100
16	user2-2	CacheHits	199
16	user2-2	CacheMisses	101
16	user2-2	size	100
17	root	CacheHits	0
17	root	CacheMisses	537
17	root	size	8
17	rtr1-1	CacheHits	0
17	rtr1-1	CacheMisses	329
17	rtr1-1	size	8
17	rtr1-2	CacheHits	0
17	rtr1-2	CacheMisses	208
17	rtr1-2	size	8
17	user1-1	CacheHits	178
17	user1-1	CacheMisses	122
17	user1-1	size	100
17	rtr2-1	CacheHits	1
17	rtr2-1	CacheMisses	207
17	rtr2-1	size	12
17	user1-2	CacheHits	199
17	user1-2	CacheMisses	101
17	user1-2	size	100
17	user1-3	CacheHits	193
17	user1-3	CacheMisses	107
17	user1-3	size	100
17	user2-1	CacheHits	199
17	user2-1	CacheMisses	101
17	user2-1	size	100
17	user2-2	CacheHits	197
