Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	root	1	internal://	InInterests	0	0	0	0
1	root	1	internal://	OutInterests	0	0	0	0
1	root	1	internal://	InData	0	0	0	0
1	root	1	internal://	OutData	0	0	0	0
1	root	1	internal://	InSatisfiedInterests	0	0	0	0
1	root	1	internal://	InTimedOutInterests	0	0	0	0
1	root	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	root	1	internal://	OutTimedOutInterests	0	0	0	0
1	root	256	netDeviceFace://	InInterests	67.2	0	84	0
1	root	256	netDeviceFace://	OutInterests	0	0	0	0
1	root	256	netDeviceFace://	InData	0	0	0	0
1	root	256	netDeviceFace://	OutData	67.2	0	84	0
1	root	256	netDeviceFace://	InSatisfiedInterests	67.2	0	84	0
1	root	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	root	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	root	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	root	257	netDeviceFace://	InInterests	45.6	0	57	0
1	root	257	netDeviceFace://	OutInterests	0	0	0	0
1	root	257	netDeviceFace://	InData	0	0	0	0
1	root	257	netDeviceFace://	OutData	45.6	0	57	0
1	root	257	netDeviceFace://	InSatisfiedInterests	45.6	0	57	0
1	root	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	root	257	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	root	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	root	258	ndnFace://0	InInterests	4	0	5	0
1	root	258	ndnFace://0	OutInterests	0	0	0	0
1	root	258	ndnFace://0	InData	0	0	0	0
1	root	258	ndnFace://0	OutData	0	0	0	0
1	root	258	ndnFace://0	InSatisfiedInterests	1.6	0	2	0
1	root	258	ndnFace://0	InTimedOutInterests	0	0	0	0
1	root	258	ndnFace://0	OutSatisfiedInterests	0	0	0	0
1	root	258	ndnFace://0	OutTimedOutInterests	0	0	0	0
1	root	259	appFace://	InInterests	0	0	0	0
1	root	259	appFace://	OutInterests	112.8	0	141	0
1	root	259	appFace://	InData	112.8	118.954	141	148.692
1	root	259	appFace://	OutData	0	0	0	0
1	root	259	appFace://	InSatisfiedInterests	0	0	0	0
1	root	259	appFace://	InTimedOutInterests	0	0	0	0
1	root	259	appFace://	OutSatisfiedInterests	112.8	0	141	0
1	root	259	appFace://	OutTimedOutInterests	0	0	0	0
1	root	-1	all	SatisfiedInterests	116	0	145	0
1	root	-1	all	TimedOutInterests	0	0	0	0
1	rtr1-1	1	internal://	InInterests	0	0	0	0
1	rtr1-1	1	internal://	OutInterests	0	0	0	0
1	rtr1-1	1	internal://	InData	0	0	0	0
1	rtr1-1	1	internal://	OutData	0	0	0	0
1	rtr1-1	1	internal://	InSatisfiedInterests	0	0	0	0
1	rtr1-1	1	internal://	InTimedOutInterests	0	0	0	0
1	rtr1-1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	rtr1-1	1	internal://	OutTimedOutInterests	0	0	0	0
1	rtr1-1	257	netDeviceFace://	InInterests	22.4	0.775	28	0.96875
1	rtr1-1	257	netDeviceFace://	OutInterests	0	0	0	0
1	rtr1-1	257	netDeviceFace://	InData	0	0	0	0
1	rtr1-1	257	netDeviceFace://	OutData	22.4	0	28	0
1	rtr1-1	257	netDeviceFace://	InSatisfiedInterests	22.4	0	28	0
1	rtr1-1	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-1	257	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	rtr1-1	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-1	256	netDeviceFace://	InInterests	0	0	0	0
1	rtr1-1	256	netDeviceFace://	OutInterests	67.2	0	84	0
1	rtr1-1	256	netDeviceFace://	InData	67.2	70.6742	84	88.3428
1	rtr1-1	256	netDeviceFace://	OutData	0	0	0	0
1	rtr1-1	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
1	rtr1-1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-1	256	netDeviceFace://	OutSatisfiedInterests	67.2	0	84	0
1	rtr1-1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-1	258	netDeviceFace://	InInterests	44.8	1.71484	56	2.14355
1	rtr1-1	258	netDeviceFace://	OutInterests	0	0	0	0
1	rtr1-1	258	netDeviceFace://	InData	0	0	0	0
1	rtr1-1	258	netDeviceFace://	OutData	44.8	0	56	0
1	rtr1-1	258	netDeviceFace://	InSatisfiedInterests	44.8	0	56	0
1	rtr1-1	258	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-1	258	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	rtr1-1	258	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-1	259	ndnFace://1	InInterests	4	0	5	0
1	rtr1-1	259	ndnFace://1	OutInterests	0	0	0	0
1	rtr1-1	259	ndnFace://1	InData	0	0	0	0
1	rtr1-1	259	ndnFace://1	OutData	0	0	0	0
1	rtr1-1	259	ndnFace://1	InSatisfiedInterests	1.6	0	2	0
1	rtr1-1	259	ndnFace://1	InTimedOutInterests	0	0	0	0
1	rtr1-1	259	ndnFace://1	OutSatisfiedInterests	0	0	0	0
1	rtr1-1	259	ndnFace://1	OutTimedOutInterests	0	0	0	0
1	rtr1-1	-1	all	SatisfiedInterests	70.4	0	88	0
1	rtr1-1	-1	all	TimedOutInterests	0	0	0	0
1	rtr1-2	1	internal://	InInterests	0	0	0	0
1	rtr1-2	1	internal://	OutInterests	0	0	0	0
1	rtr1-2	1	internal://	InData	0	0	0	0
1	rtr1-2	1	internal://	OutData	0	0	0	0
1	rtr1-2	1	internal://	InSatisfiedInterests	0	0	0	0
1	rtr1-2	1	internal://	InTimedOutInterests	0	0	0	0
1	rtr1-2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	rtr1-2	1	internal://	OutTimedOutInterests	0	0	0	0
1	rtr1-2	257	netDeviceFace://	InInterests	24.8	0.855469	31	1.06934
1	rtr1-2	257	netDeviceFace://	OutInterests	0	0	0	0
1	rtr1-2	257	netDeviceFace://	InData	0	0	0	0
1	rtr1-2	257	netDeviceFace://	OutData	24.8	0	31	0
1	rtr1-2	257	netDeviceFace://	InSatisfiedInterests	24.8	0	31	0
1	rtr1-2	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-2	257	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	rtr1-2	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-2	256	netDeviceFace://	InInterests	0	0	0	0
1	rtr1-2	256	netDeviceFace://	OutInterests	45.6	0	57	0
1	rtr1-2	256	netDeviceFace://	InData	45.6	47.8391	57	59.7988
1	rtr1-2	256	netDeviceFace://	OutData	0	0	0	0
1	rtr1-2	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
1	rtr1-2	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-2	256	netDeviceFace://	OutSatisfiedInterests	45.6	0	57	0
1	rtr1-2	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-2	258	netDeviceFace://	InInterests	20.8	0.715625	26	0.894531
1	rtr1-2	258	netDeviceFace://	OutInterests	0	0	0	0
1	rtr1-2	258	netDeviceFace://	InData	0	0	0	0
1	rtr1-2	258	netDeviceFace://	OutData	20.8	0	26	0
1	rtr1-2	258	netDeviceFace://	InSatisfiedInterests	20.8	0	26	0
1	rtr1-2	258	netDeviceFace://	InTimedOutInterests	0	0	0	0
1	rtr1-2	258	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
1	rtr1-2	258	netDeviceFace://	OutTimedOutInterests	0	0	0	0
1	rtr1-2	259	ndnFace://2	InInterests	4	0	5	0
1	rtr1-2	259	ndnFace://2	OutInterests	0	0	0	0
1	rtr1-2	259	ndnFace://2	InData	0	0	0	0
1	rtr1-2	259	ndnFace://2	OutData	0	0	0	0
1	rtr1-2	259	ndnFace://2	InSatisfiedInterests	1.6	0	2	0
1	rtr1-2	259	ndnFace://2	InTimedOutInterests	0	0	0	0
1	rtr1-2	259	ndnFace://2	OutSatisfiedInterests	0	0	0	0
1	rtr1-2	259	ndnFace://2	OutTimedOutInterests	0	0	0	0
1	rtr1-2	-1	all	SatisfiedInterests	48.8	0	61	0
1	rtr1-2	-1	all	TimedOutInterests	0	0	0	0
1	user1-1	1	internal://	InInterests	0	0	0	0
